Categoria,Desconto,Preço,Produto,Unnamed: 0
Kit_Hardware,,529.0,"Kit Powerpc, Placa Mãe H81 + Processador I5 4570 + 16GB RAM, DDR3 + Cooler",1
Kit_Hardware,,1851.99,"Kit Upgrade AMD Ryzen 5 5600G, Placa Mae A520M-E, 16GB DDR4, Neologic - Nli84110",2
Kit_Hardware,,1513.77,"Kit Upgrade AMD Ryzen 5 4600G, Placa Mae A520M, 16GB DDR4, Neologic - Nli84045",3
Kit_Hardware,,1528.7,"Kit Upgrade AMD Ryzen 5 5600G, Placa Mae A520M-E, Neologic - Nli84111",4
Kit_Hardware,,1458.1,"Kit Upgrade AMD Ryzen 5 4500, Placa Mae A520M, 16GB DDR4, Neologic - Nli84048",5
Kit_Hardware,,789.99,"Kit Pl Mãe H110 + Processador I5 6500 + Memoria 8GB, D4 + Cooler",6
Kit_Hardware,,755.0,Kit Upgrade Powerpc Placa Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler,7
Kit_Hardware,,1270.63,Placa De Video Pcyes Nvidia Geforce Gtx 1660 Super 6GB GDDR6 192bits Dual-fan Graffiti Series - Pa1660s6gr6df,8
Kit_Hardware,,295.5,Kit Upgrade com Placa Mãe H61 + Processador I3 2100 + Memoria 8 GB DDR3 + Cooler Rede 10 100,9
Kit_Hardware,,1750.0,Kit Upgrade Intel I7-6700 + Ddr4 16gb + Nvme 512gb + Mb H110,10
Kit_Hardware,,679.9,Kit Pl Mãe H110 + Processador I3 6100 + Memoria 8 Gb Ddr4 + Cooler,11
Kit_Hardware,,424.6,"Kit Upgrade, Placa Mãe H61 + Processador I5 3470 + Memoria 16Gb Ddr3 + Cooler",12
Kit_Hardware,,635.0,Kit Placa Mãe H81 + Processador I7 4770 + Cooler,13
Kit_Hardware,,690.91,Kit Powerpc Placa-Mãe H110 + Processador I3 7100 + Memória 8GB DDR4 + Cooler,14
Kit_Hardware,,1717.8,Kit Upgrade Gamer Amd Ryzen 5 5600g Mb A520 16gb Ddr4,15
Kit_Hardware,,275.5,Kit Upgrade Powerpc: Placa Mãe H61 + Processador I3 2100 + Memória 4 GB DDR3 + Cooler - OEM,16
Kit_Hardware,,487.9,Kit Pl Mãe H81 + Processador I5 4570 + Memoria 16 Gb Ddr3,17
Kit_Hardware,,395.9,"Kit Placa Mãe H61 + Processador I5 3470 + Memoria RAM 8GB, DDR3 + Cooler",18
Kit_Hardware,,539.99,Kit Placa-Mãe H61 + Processador I5 3470 + Memória 8GB + Cooler + SSD 256GB M2,19
Kit_Hardware,,1499.83,Kit Upgrade com Placa Mãe H310 + Processador I5 8500 + Memória 16GB DDR4 + Cooler + SSD M.2 512GB,20
Kit_Hardware,,1416.0,"Kit Upgrade Intel I7-6700, Ddr4 16gb, Placa Mãe H110 Gigalan",21
Kit_Hardware,,1000.8,Kit Powerpc Placa-Mãe H110 + Processador I5 7400 + Memória 8GB DDR4 + Cooler + M.2 256GB,22
Kit_Hardware,,583.0,Kit Upgrade Intel I5-3470 + Ddr3 16gb + Placa Mãe H61/ B75,23
Kit_Hardware,,636.25,Kit Placa-Mãe H81 + Processador I5 4570 + Memória 8GB DDR3 + Cooler + SSD 240GB M2,24
Kit_Hardware,,899.0,Kit Upgrade - Placa-Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler + SSD M.2 256GB,25
Kit_Hardware,,2099.0,"Kit Upgrade, Placa Asus Proc. I5 11400f, 32GB DDR4 3200mhz",26
Kit_Hardware,,298.02,"Kit Upgrade, Placa Mãe H61 + Processador I3 3220 + Memoria 4 Gb Ddr3 + Cooler",27
Kit_Hardware,,275.5,Kit Upgrade Placa Mãe H61+ Processador I3 2100 + Memoria 4 GB DDR3 + Cooler Rede 10 100,28
Kit_Hardware,,288.24,Kit Placa Mãe H81 + Processador I3 4130,29
Kit_Hardware,,1799.99,Kit Pl Mãe H110 + Proc. I7 8700 + Mem. 32gb Ddr4 + Cooler,30
Kit_Hardware,,474.01,Kit Placa Mãe H81 + Processador I5 4570s + Memoria 8GB DDR3 + Cooler,31
Kit_Hardware,,1509.19,Kit Upgrade Processador Intel® Core™ I5 10400f + Placa Mãe Asrock H510-hdv M.2,32
Kit_Hardware,,1100.0,"Kit Upgrade Kaikora Gamer, Intel I5 OEM 6ª Geração H110 + Memória 8GB DDR4",33
Kit_Hardware,,1059.0,Kit Upgrade Powerpc: Placa Mãe H310 + Processador I5 8500 + Memória 8GB DDR4 + Cooler,34
Kit_Hardware,,454.01,"Kit Pl Mãe H81-10/100 + Processador I5 4570 + Memoria 4 GB, DDR3 + Cooler",35
Kit_Hardware,,869.99,Kit Pl Mãe H61 + Proc I7 3770s + Memoria 16 Gb Ddr3 + Cooler+ SSD 480,36
Kit_Hardware,,1052.68,Kit Upgrade PowerPC com Placa Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler + SSD M.2 512GB,37
Kit_Hardware,,693.65,Kit Pl Mãe H61 + Processador I3 2100 + Mem 4 Gb Ddr3 + Cooler + Fonte,38
Kit_Hardware,,939.99,"Kit Pl H110 + Proc I5 6500 + Mem 8 GB,DDR4 + Cooler + SSD 240",39
Memoria_Ram,-15%,169.99,"Memória RAM Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8",0
Memoria_Ram,-13%,273.99,"Memória RAM Kingston Fury Beast, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1/16",1
Memoria_Ram,-12%,164.99,"Memória RAM XPG Gammix D35, 8GB, 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-SBKD35",2
Memoria_Ram,-45%,74.99,"Memória RAM Rise Mode, 8GB, 1600MHz, DDR3, CL11 - RM-D3-8G1600V",3
Memoria_Ram,-19%,259.99,"Memória RAM XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35G",4
Memoria_Ram,-53%,249.99,"Memória Gamer Husky Gaming Avalanche, 16GB, 3200MHz, DDR4, CL19, Preto - HGMF008",5
Memoria_Ram,-10%,269.99,"Memória RAM XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-SWHD35G",6
Memoria_Ram,-16%,54.99,"Memória RAM para Notebook Rise Mode Value Series, 8GB, 1600MHz, DDR3L, CL11 - RM-D3-8G1600NL",7
Memoria_Ram,-14%,248.99,"Memória RAM para Notebook Kingston Fury Impact, 16GB, 3200MHz, DDR4, CL20 - KF432S20IB/16",8
Memoria_Ram,-11%,349.99,"Memória RAM Kingston Fury Beast, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB12A/16",9
Memoria_Ram,-8%,243.0,"Memória RAM Rise Mode Z, 16GB, 3200MHz, DDR4, CL16, Preto - RM-D4-16G-3200Z",10
Memoria_Ram,-8%,59.99,"Memória RAM Gamer Rise Mode Value, 8GB, 1600MHz, DDR3L, CL11, Preto - RM-D3-8G1600VL",11
Memoria_Ram,-15%,129.99,"Memória RAM Rise Mode Z, 8GB, 3200MHz, DDR4, CL16, Branco - RM-D4-8G-3200ZW",12
